"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"NetE2_12","E2_MOT-2","130.743mm","71.244mm","Bottom","1mm","Through hole"
"NetE2_11","E2_MOT-1","127.243mm","71.244mm","Bottom","1mm","Through hole"
"NetF1_0","HB-PWR-2","119.5832mm","6.0782mm","Bottom","1.2mm","Through hole"
"GND","HB-PWR-1","114.5832mm","6.0782mm","Bottom","1.2mm","Through hole"
"GND","MAIN-PWR-1","104.601mm","6.0782mm","Bottom","1.2mm","Through hole"
"NetF2_0","MAIN-PWR-2","109.601mm","6.0782mm","Bottom","1.2mm","Through hole"
"VIN2","HB-OUT-2","129.6162mm","6.0782mm","Bottom","1.2mm","Through hole"
"NetD13_A","HB-OUT-1","124.6162mm","6.0782mm","Bottom","1.2mm","Through hole"
"NetD12_A","HE0-2","48.4938mm","6.2052mm","Bottom","1mm","Through hole"
"VIN1","HE0-1","51.9938mm","6.2052mm","Bottom","1mm","Through hole"
"VIN1","HE1-1","60.3758mm","6.129mm","Bottom","1mm","Through hole"
"NetD9_A","HE1-2","56.8758mm","6.129mm","Bottom","1mm","Through hole"
"NetD14_A","HE2-2","65.2578mm","6.1544mm","Bottom","1mm","Through hole"
"NetD14_K","HE2-1","68.7578mm","6.1544mm","Bottom","1mm","Through hole"
"NetD10_K","FAN0-1","77.089mm","6.1544mm","Bottom","1mm","Through hole"
"NetD10_A","FAN0-2","73.589mm","6.1544mm","Bottom","1mm","Through hole"
"NetD11_A","FAN1-2","82.098mm","6.2052mm","Bottom","1mm","Through hole"
"NetD11_K","FAN1-1","85.598mm","6.2052mm","Bottom","1mm","Through hole"
"X-MIN","X--1","11.6116mm","65.438mm","Bottom","0.9mm","Through hole"
"GND","X--2","9.0716mm","65.438mm","Bottom","0.9mm","Through hole"
"+5V","X--3","6.5316mm","65.438mm","Bottom","0.9mm","Through hole"
"+5V","X+-3","6.5316mm","62.898mm","Bottom","0.9mm","Through hole"
"GND","X+-2","9.0716mm","62.898mm","Bottom","0.9mm","Through hole"
"X-MAX","X+-1","11.6116mm","62.898mm","Bottom","0.9mm","Through hole"
"Y-MIN","Y--1","11.6116mm","60.358mm","Bottom","0.9mm","Through hole"
"GND","Y--2","9.0716mm","60.358mm","Bottom","0.9mm","Through hole"
"+5V","Y--3","6.5316mm","60.358mm","Bottom","0.9mm","Through hole"
"+5V","Y+-3","6.5316mm","57.818mm","Bottom","0.9mm","Through hole"
"GND","Y+-2","9.0716mm","57.818mm","Bottom","0.9mm","Through hole"
